kind,eps,island,p,h,nz,ntheta,elements,dofs,residual,seconds,chi_gradient_ratio_o_at_rs,chi_drop_ratio_o,p_gradient_ratio_o_at_rs,p_drop_ratio_o,chi_gradient_ratio_x_at_rs,chi_drop_ratio_x,p_gradient_ratio_x_at_rs,p_drop_ratio_x,file,levels,mollifier,helical_symmetry_relative_max
2d,0.0001,0.001,4,0.035,4,24,6312,50857,2.7158525755909097e-12,0.9299304580054013,0.9163088414341364,0.92683772067903,0.9185652024710865,0.9355586180769161,1.0709700237119395,1.059519022210774,1.0907769578327209,1.0701525142124733,2d_e0.0001_i0.001_p4_h0.035_a24_z4.json,,,
2d,0.0001,0.005,4,0.035,4,24,6312,50857,2.455141768395645e-12,1.0767837499879533,0.537386299633988,0.6903877068796275,0.7214842592376051,0.8143181746978971,1.1987073503333177,1.0337918346833344,1.515991031596076,1.169105938419181,2d_e0.0001_i0.005_p4_h0.035_a24_z4.json,,,
2d,0.0001,0.005,4,0.035,4,24,6312,50857,2.500463783537475e-12,2.019634374999441,0.5373862996339936,0.6903877068796338,0.7146796004764013,0.8141572261112607,1.1987073503333012,1.0337918346833248,1.519864994281736,1.1690298242923676,2d_e0.0001_i0.005_p4_h0.035_a24_z4_l257_m0.25.json,257,0.25,
2d,0.0001,0.005,4,0.07,4,24,1508,12241,5.728541695017586e-13,0.1659890830051154,0.5373728404859183,0.6903869348393037,0.7068129732937237,0.8165582030552544,1.1987235359976747,1.0337909077506018,1.5100454467419058,1.1694651363719593,2d_e0.0001_i0.005_p4_h0.07_a24_z4.json,,,
2d,0.0001,0.0,4,0.07,4,24,1508,12241,6.304225108167466e-13,0.22299654201196972,1.0000000000000757,1,1.0151078023396778,1,1.0000000000001188,1,1.0151078023396611,1,2d_e0.0001_i0_p4_h0.07_a24_z4.json,,,
2d,1e-05,0.001,4,0.035,4,24,6312,50857,2.3547485889523724e-11,0.9531894170067972,0.7024886712396234,0.7809903480692395,0.7896863529454625,0.8466473868806523,1.194719080267634,1.1019475440641038,1.3511928471082828,1.171759570578334,2d_e1e-05_i0.001_p4_h0.035_a24_z4.json,,,
2d,1e-05,0.005,4,0.0175,4,24,24224,194513,6.723073362239462e-11,4.535816917006741,0.02844017623635658,0.34858682085538933,0.22392824111936055,0.702760450149653,1.1294010760265845,0.8440975015033496,1.6995413032451012,1.2173760668798261,2d_e1e-05_i0.005_p4_h0.0175_a24_z4_l257_m0.5.json,257,0.5,
2d,1e-05,0.005,4,0.035,4,24,6312,50857,1.869041838217652e-11,0.9487281659967266,0.028432932379747807,0.3485859384473135,0.18465548240638438,0.7031105161852966,1.129569463982949,0.8440738093977539,1.6925929634169803,1.2173986376612698,2d_e1e-05_i0.005_p4_h0.035_a24_z4.json,,,
2d,1e-05,0.005,4,0.035,4,24,6312,50857,1.827281813907876e-11,2.003117125001154,0.028432932379780985,0.3485859384474653,0.23255484507618202,0.7027088659153089,1.1295694639834148,0.8440738093980772,1.693384267667029,1.2172484064083324,2d_e1e-05_i0.005_p4_h0.035_a24_z4_l257_m0.25.json,257,0.25,
2d,1e-05,0.005,4,0.07,4,24,1508,12241,4.214563708699278e-12,0.24067554200883023,0.028553367243921362,0.3486169961092732,0.19006481970140207,0.7058061792501558,1.1266428085833373,0.8441826343789753,1.6787848419690632,1.216822475938979,2d_e1e-05_i0.005_p4_h0.07_a24_z4.json,,,
2d,1e-06,0.001,4,0.035,4,24,6312,50857,2.360172317487602e-10,0.9162316250003641,0.19462252044149847,0.47991389491605957,0.5043416775082358,0.7378390312566828,1.2881312735617403,0.9533904344416131,2.356583910945689,1.2201061509501665,2d_e1e-06_i0.001_p4_h0.035_a24_z4.json,,,
2d,1e-06,0.005,4,0.035,4,24,6312,50857,1.4866062453798318e-10,0.9105665829993086,-0.04135620804938898,0.1386904391434417,-0.1912506392003412,0.5990790673351108,0.6431599113415133,0.664651880258018,0.7923387778529701,1.219605334921769,2d_e1e-06_i0.005_p4_h0.035_a24_z4.json,,,
2d,1e-06,0.005,4,0.07,4,24,1508,12241,3.4404272075880434e-11,0.24488800000108313,-0.04127823254378643,0.13910949017133878,-0.14599509313220077,0.6062758401694691,0.6132547125283244,0.6666282302142185,0.8096202384952885,1.2160772958305182,2d_e1e-06_i0.005_p4_h0.07_a24_z4.json,,,
3d,0.0001,0.005,2,0.07,4,24,32544,49041,1.0157271720320634e-11,14.053068417008035,0.6033277179993223,0.7256379199728824,0.7746161178172893,0.8673015004269836,1.0314084886133994,0.9651271012626537,1.311378721069534,1.135288757336805,3d_e0.0001_i0.005_p2_h0.07_a24_z4.json,,,0.0004310466717477084
